Aplicativo, Bsize_X, Bsize_Y, Resultado Médio, Desvio Padrão, IC Inferior, IC Superior
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 160, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 80, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 40, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 20, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 64, 10, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 10, 64, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 20, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 40, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 80, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 160, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 176, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 88, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 44, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 22, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 22, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 44, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 88, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 176, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 192, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 96, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 48, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 24, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 64, 12, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 128, 6, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 6, 128, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 12, 64, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 24, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 48, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 96, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 192, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 208, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 104, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 52, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 26, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 26, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 52, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 104, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 208, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 224, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 112, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 56, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 28, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 64, 14, 0, 0, 0, 0
