Aplicativo,Tamanho,Resultado Médio,Desvio Padrão,IC Inferior,IC Superior
original.CUDA.blaise.x,88,468.00,0,,
original.CUDA.blaise.x,120,664.00,0,,
original.CUDA.blaise.x,152,530.00,0,,
original.CUDA.blaise.x,184,696.00,0,,
original.CUDA.blaise.x,216,623.00,0,,
original.CUDA.blaise.x,248,722.00,0,,
original.CUDA.blaise.x,280,670.00,0,,
original.CUDA.blaise.x,312,659.00,0,,
original.CUDA.blaise.x,344,649.00,0,,
original.CUDA.blaise.x,376,653.00,0,,
original.CUDA.blaise.x,408,684.00,0,,
original.CUDA.blaise.x,440,647.00,0,,
original.CUDA.blaise.x,472,655.00,0,,
original.CUDA.blaise.x,504,648.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,88,743.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,120,1132.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,152,990.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,184,1268.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,216,1258.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,248,1471.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,280,1402.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,312,1319.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,344,1363.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,376,1365.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,408,1436.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,440,1375.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,472,1395.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,504,1384.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,88,949.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,120,1364.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,152,1344.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,184,1684.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,216,1736.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,248,2073.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,280,2089.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,312,2229.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,344,2280.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,376,2348.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,408,2512.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,440,2425.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,472,2510.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,504,2500.00,0,,
