Aplicativo,Resultado Médio,Desvio Padrão,IC Inferior,IC Superior
der1der1_cudaMemPrefetchAsync.CUDA.pedrorigon.x,952.60,13.98,942.60,962.60
der1der1_unified_memory.CUDA.pedrorigon.x,953.00,12.54,944.03,961.97
