chifflot-1,skylake-avx512,original,CUDA,440,samples,720,M
chifflot-1,skylake-avx512,original,CUDA,440,time,14.613549,s
chifflot-1,skylake-avx512,der1der1lm,CUDA,344,samples,1125,M
chifflot-1,skylake-avx512,der1der1lm,CUDA,344,time,4.726152,s
chifflot-1,skylake-avx512,der1der1,CUDA,440,samples,1318,M
chifflot-1,skylake-avx512,der1der1,CUDA,440,time,7.980214,s
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,88,samples,109,M
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,88,time,1.581237,s
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,248,samples,292,M
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,248,time,7.515144,s
chifflot-1,skylake-avx512,der1der1lm,OpenMP,184,samples,327,M
chifflot-1,skylake-avx512,der1der1lm,OpenMP,184,time,3.084567,s
chifflot-1,skylake-avx512,der1der1hm,OpenACC-GPU,88,samples,578,M
chifflot-1,skylake-avx512,der1der1hm,OpenACC-GPU,88,time,0.298934,s
chifflot-1,skylake-avx512,der1der1lm,CUDA,152,samples,677,M
chifflot-1,skylake-avx512,der1der1lm,CUDA,152,time,0.920088,s
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,312,samples,309,M
chifflot-1,skylake-avx512,der1der1lm,OpenACC-CPU,312,time,13.153564,s
chifflot-1,skylake-avx512,der1der1,OpenACC-GPU,120,samples,1763,M
chifflot-1,skylake-avx512,der1der1,OpenACC-GPU,120,time,0.199236,s
chifflot-1,skylake-avx512,der1der1,CUDA,152,samples,1137,M
chifflot-1,skylake-avx512,der1der1,CUDA,152,time,0.547711,s
chifflot-1,skylake-avx512,original,OpenMP,312,samples,220,M
chifflot-1,skylake-avx512,original,OpenMP,312,time,18.528105,s
chifflot-1,skylake-avx512,der1der1lm,OpenMP,536,samples,303,M
chifflot-1,skylake-avx512,der1der1lm,OpenMP,536,time,60.408709,s
chifflot-1,skylake-avx512,original,OpenACC-CPU,536,samples,298,M
chifflot-1,skylake-avx512,original,OpenACC-CPU,536,time,61.561107,s
chifflot-1,skylake-avx512,der1der1,CUDA,280,samples,1352,M
chifflot-1,skylake-avx512,der1der1,CUDA,280,time,2.246893,s
chifflot-1,skylake-avx512,der1der1hm,OpenMP,312,samples,327,M
chifflot-1,skylake-avx512,der1der1hm,OpenMP,312,time,12.440095,s
chifflot-1,skylake-avx512,der1der1hm,CUDA,376,samples,1150,M
chifflot-1,skylake-avx512,der1der1hm,CUDA,376,time,5.905608,s
chifflot-1,skylake-avx512,der1der1hm,OpenACC-CPU,184,samples,216,M
chifflot-1,skylake-avx512,der1der1hm,OpenACC-CPU,184,time,4.664262,s
chifflot-1,skylake-avx512,original,OpenMP,440,samples,222,M
chifflot-1,skylake-avx512,original,OpenMP,440,time,47.443415,s
chifflot-1,skylake-avx512,der1der1lm,OpenMP,24,samples,27,M
chifflot-1,skylake-avx512,der1der1lm,OpenMP,24,time,0.652414,s
chifflot-1,skylake-avx512,der1der1,OpenMP,152,samples,207,M
chifflot-1,skylake-avx512,der1der1,OpenMP,152,time,3.008140,s
chifflot-1,skylake-avx512,original,OpenMP,24,samples,91,M
chifflot-1,skylake-avx512,original,OpenMP,24,time,0.193858,s
chifflot-1,skylake-avx512,der1der1lm,OpenACC-GPU,344,samples,1013,M
